# normalized display name	exact unenchanted UniqueName
# Generated from formatted-items.txt; used for market_history demand lookups.
# entries=5092
"tame" caerleon cottontail	T8_FARM_RABBIT_EASTER_GROWN_DARK
adept's greataxe	T4_2H_AXE
adept's griffin underfur	T4_ARTEFACT_SHOES_LEATHER_FEY
adept's grovekeeper	T4_2H_RAM_KEEPER
adept's guardian armor	T4_ARMOR_PLATE_SET3
adept's guardian boots	T4_SHOES_PLATE_SET3
adept's guardian helmet	T4_HEAD_PLATE_SET3
adept's halberd	T4_2H_HALBERD
adept's hallowfall	T4_MAIN_HOLYSTAFF_AVALON
adept's hammer	T4_MAIN_HAMMER
adept's hand of justice	T4_2H_HAMMER_AVALON
adept's hardened debole	T4_ARTEFACT_MAIN_RAPIER_MORGANA
adept's harvester backpack	T4_BACKPACK_GATHERER_FIBER
adept's harvester cap	T4_HEAD_GATHERER_FIBER
adept's harvester garb	T4_ARMOR_GATHERER_FIBER
adept's harvester workboots	T4_SHOES_GATHERER_FIBER
adept's heavy crossbow	T4_2H_CROSSBOWLARGE
adept's heavy mace	T4_2H_MACE
adept's hellfire hands	T4_2H_KNUCKLES_HELL
adept's hellfire imp remnant	T4_ARTEFACT_2H_SHAPESHIFTER_HELL
adept's hellion hood	T4_HEAD_LEATHER_HELL
adept's hellion jacket	T4_ARMOR_LEATHER_HELL
adept's hellion shoes	T4_SHOES_LEATHER_HELL
adept's hellish bolts	T4_ARTEFACT_2H_DUALCROSSBOW_HELL
adept's hellish hammer heads	T4_ARTEFACT_2H_DUALHAMMER_HELL
adept's hellish handle	T4_ARTEFACT_OFF_JESTERCANE_HELL
adept's hellish sicklehead	T4_ARTEFACT_2H_SCYTHE_HELL
adept's hellish sicklehead pair	T4_ARTEFACT_2H_TWINSCYTHE_HELL
adept's hellspawn staff	T4_2H_SHAPESHIFTER_HELL
adept's helmet of valor	T4_HEAD_PLATE_AVALON
adept's heretic cape	T4_CAPEITEM_HERETIC
adept's heretic crest	T4_CAPEITEM_HERETIC_BP
adept's heron spear	T4_MAIN_SPEAR_KEEPER
adept's hoarfrost orb	T4_ARTEFACT_MAIN_FROSTSTAFF_KEEPER
adept's hoarfrost staff	T4_MAIN_FROSTSTAFF_KEEPER
adept's holy staff	T4_MAIN_HOLYSTAFF
adept's hood of tenacity	T4_HEAD_LEATHER_AVALON
adept's horse	T4_FARM_HORSE_GROWN
adept's humming avalonian whirligig	T4_ARTEFACT_2H_CROSSBOW_CANNON_AVALON
adept's hunter hood	T4_HEAD_LEATHER_SET2
adept's hunter jacket	T4_ARMOR_LEATHER_SET2
adept's hunter shoes	T4_SHOES_LEATHER_SET2
adept's hypnotic harmonic ring	T4_ARTEFACT_2H_ARCANE_RINGPAIR_AVALON
adept's icicle orb	T4_ARTEFACT_2H_ICEGAUNTLETS_HELL
adept's icicle staff	T4_2H_ICEGAUNTLETS_HELL
adept's icy crystal	T4_ARTEFACT_2H_FROSTSTAFF_CRYSTAL
adept's imbued leather folds	T4_ARTEFACT_ARMOR_LEATHER_MORGANA
adept's imbued mace head	T4_ARTEFACT_2H_MACE_MORGANA
adept's imbued soles	T4_ARTEFACT_SHOES_LEATHER_MORGANA
adept's imbued visor	T4_ARTEFACT_HEAD_LEATHER_MORGANA
adept's immaculately crafted riser	T4_ARTEFACT_2H_BOW_AVALON
adept's incubus mace	T4_MAIN_MACE_HELL
adept's infernal cloth bindings	T4_ARTEFACT_SHOES_CLOTH_HELL
adept's infernal cloth folds	T4_ARTEFACT_ARMOR_CLOTH_HELL
adept's infernal cloth visor	T4_ARTEFACT_HEAD_CLOTH_HELL
adept's infernal harpoon tip	T4_ARTEFACT_2H_HARPOON_HELL
adept's infernal mace head	T4_ARTEFACT_MAIN_MACE_HELL
adept's infernal scroll	T4_ARTEFACT_2H_HOLYSTAFF_HELL
adept's infernal scythe	T4_2H_SCYTHE_HELL
adept's infernal shield core	T4_ARTEFACT_OFF_SHIELD_HELL
adept's infernal staff	T4_2H_INFERNOSTAFF
adept's infinite crystal	T4_ARTEFACT_MAIN_SWORD_CRYSTAL
adept's infinity blade	T4_MAIN_SWORD_CRYSTAL
adept's inscribed bindings	T4_ARTEFACT_SHOES_PLATE_KEEPER
adept's inscribed stone	T4_ARTEFACT_OFF_TOTEM_KEEPER
adept's intact fey fibula	T4_ARTEFACT_HEAD_CLOTH_FEY
adept's iron-clad staff	T4_2H_IRONCLADEDSTAFF
adept's ironroot staff	T4_MAIN_NATURESTAFF_AVALON
adept's jacket of tenacity	T4_ARMOR_LEATHER_AVALON
adept's judicator armor	T4_ARMOR_PLATE_KEEPER
adept's judicator boots	T4_SHOES_PLATE_KEEPER
adept's judicator helmet	T4_HEAD_PLATE_KEEPER
adept's keeper axeheads	T4_ARTEFACT_2H_DUALAXE_KEEPER
adept's keeper cape	T4_CAPEITEM_KEEPER
adept's keeper crest	T4_CAPEITEM_KEEPER_BP
adept's keeper spearhead	T4_ARTEFACT_MAIN_SPEAR_KEEPER
adept's kingmaker	T4_2H_CLAYMORE_AVALON
adept's knight armor	T4_ARMOR_PLATE_SET2
adept's knight boots	T4_SHOES_PLATE_SET2
adept's knight helmet	T4_HEAD_PLATE_SET2
adept's knight's vow	T4_GVGSEASONREWARD_FAMEBUFF
adept's leering cane	T4_OFF_JESTERCANE_HELL
adept's lifecurse staff	T4_MAIN_CURSEDSTAFF_UNDEAD
adept's lifetouch staff	T4_MAIN_HOLYSTAFF_MORGANA
adept's light crossbow	T4_MAIN_1HCROSSBOW
adept's lightcaller	T4_2H_SHAPESHIFTER_AVALON
adept's longbow	T4_2H_LONGBOW
adept's lost arcane crystal	T4_ARTEFACT_MAIN_ARCANESTAFF_UNDEAD
adept's lost crossbow mechanism	T4_ARTEFACT_2H_REPEATINGCROSSBOW_UNDEAD
adept's lost cursed crystal	T4_ARTEFACT_MAIN_CURSEDSTAFF_UNDEAD
adept's lumberjack backpack	T4_BACKPACK_GATHERER_WOOD
adept's lumberjack cap	T4_HEAD_GATHERER_WOOD
adept's lumberjack garb	T4_ARMOR_GATHERER_WOOD
adept's lumberjack workboots	T4_SHOES_GATHERER_WOOD
adept's lymhurst cape	T4_CAPEITEM_FW_LYMHURST
adept's lymhurst crest	T4_CAPEITEM_FW_LYMHURST_BP
adept's mace	T4_MAIN_MACE
adept's mage cowl	T4_HEAD_CLOTH_SET3
adept's mage robe	T4_ARMOR_CLOTH_SET3
adept's mage sandals	T4_SHOES_CLOTH_SET3
adept's malevolent locus	T4_2H_ENIGMATICORB_MORGANA
adept's martlock cape	T4_CAPEITEM_FW_MARTLOCK
adept's martlock crest	T4_CAPEITEM_FW_MARTLOCK_BP
adept's massive metallic hand	T4_ARTEFACT_2H_HAMMER_AVALON
adept's mercenary hood	T4_HEAD_LEATHER_SET1
adept's mercenary jacket	T4_ARMOR_LEATHER_SET1
adept's mercenary shoes	T4_SHOES_LEATHER_SET1
adept's messianic curio	T4_ARTEFACT_MAIN_HOLYSTAFF_AVALON
adept's miner backpack	T4_BACKPACK_GATHERER_ORE
adept's miner cap	T4_HEAD_GATHERER_ORE
adept's miner garb	T4_ARMOR_GATHERER_ORE
adept's miner workboots	T4_SHOES_GATHERER_ORE
adept's mirage crystal	T4_ARTEFACT_2H_DOUBLEBLADEDSTAFF_CRYSTAL
adept's mistcaller	T4_OFF_HORN_KEEPER
adept's mistpiercer	T4_2H_BOW_AVALON
adept's mistwalker hood	T4_HEAD_LEATHER_FEY
adept's mistwalker jacket	T4_ARMOR_LEATHER_FEY
adept's mistwalker shoes	T4_SHOES_LEATHER_FEY
adept's morgana cape	T4_CAPEITEM_MORGANA
adept's morgana crest	T4_CAPEITEM_MORGANA_BP
adept's morgana halberd head	T4_ARTEFACT_2H_HALBERD_MORGANA
adept's morning star	T4_2H_FLAIL
adept's muisak	T4_OFF_DEMONSKULL_HELL
adept's nature staff	T4_MAIN_NATURESTAFF
adept's oathkeepers	T4_2H_DUALMACE_AVALON
adept's occult orb	T4_ARTEFACT_2H_ARCANESTAFF_HELL
adept's occult staff	T4_2H_ARCANESTAFF_HELL
adept's ox	T4_FARM_OX_GROWN
adept's ox calf	T4_FARM_OX_BABY
adept's permafrost prism	T4_2H_ICECRYSTAL_UNDEAD
adept's phantom twinblade	T4_2H_DOUBLEBLADEDSTAFF_CRYSTAL
adept's pickaxe	T4_2H_TOOL_PICK
adept's pike	T4_2H_SPEAR
adept's polehammer	T4_2H_POLEHAMMER
adept's possessed catalyst	T4_ARTEFACT_2H_ENIGMATICORB_MORGANA
adept's possessed scroll	T4_ARTEFACT_MAIN_HOLYSTAFF_MORGANA
adept's preserved animal fur	T4_ARTEFACT_ARMOR_PLATE_KEEPER
adept's preserved log	T4_ARTEFACT_2H_NATURESTAFF_KEEPER
adept's preserved rocks	T4_ARTEFACT_2H_ROCKSTAFF_KEEPER
adept's primal staff	T4_2H_SHAPESHIFTER_SET3
adept's prowling staff	T4_2H_SHAPESHIFTER_SET1
adept's pulsating crystal	T4_ARTEFACT_2H_KNUCKLES_CRYSTAL
adept's pyreheart crystal	T4_ARTEFACT_MAIN_FIRESTAFF_CRYSTAL
adept's quarrier backpack	T4_BACKPACK_GATHERER_ROCK
adept's quarrier cap	T4_HEAD_GATHERER_ROCK
adept's quarrier garb	T4_ARMOR_GATHERER_ROCK
adept's quarrier workboots	T4_SHOES_GATHERER_ROCK
adept's quarterstaff	T4_2H_QUARTERSTAFF
adept's rampant staff	T4_2H_NATURESTAFF_KEEPER
adept's ravenstrike cestus	T4_2H_KNUCKLES_MORGANA
adept's realmbreaker	T4_2H_AXE_AVALON
adept's redemption staff	T4_2H_HOLYSTAFF_UNDEAD
adept's reinforced morgana pole	T4_ARTEFACT_2H_COMBATSTAFF_MORGANA
adept's relic	T4_RELIC
adept's remnants of the old king	T4_ARTEFACT_2H_CLAYMORE_AVALON
adept's repair kit	T4_FURNITUREITEM_REPAIRKIT
adept's riding horse	T4_MOUNT_HORSE
adept's rift crystal	T4_ARTEFACT_2H_GLAIVE_CRYSTAL
adept's rift glaive	T4_2H_GLAIVE_CRYSTAL
adept's robe of purity	T4_ARMOR_CLOTH_AVALON
adept's rootbound staff	T4_2H_SHAPESHIFTER_SET2
adept's rotcaller staff	T4_MAIN_CURSEDSTAFF_CRYSTAL
adept's rotten crystal	T4_ARTEFACT_MAIN_CURSEDSTAFF_CRYSTAL
adept's royal armor	T4_ARMOR_PLATE_ROYAL
adept's royal boots	T4_SHOES_PLATE_ROYAL
adept's royal cowl	T4_HEAD_CLOTH_ROYAL
adept's royal helmet	T4_HEAD_PLATE_ROYAL
adept's royal hood	T4_HEAD_LEATHER_ROYAL
adept's royal jacket	T4_ARMOR_LEATHER_ROYAL
adept's royal robe	T4_ARMOR_CLOTH_ROYAL
adept's royal sandals	T4_SHOES_CLOTH_ROYAL
adept's royal shoes	T4_SHOES_LEATHER_ROYAL
adept's royal sigil	QUESTITEM_TOKEN_ROYAL_T4
adept's ruined ancestral vamplate	T4_ARTEFACT_MAIN_SPEAR_LANCE_AVALON
adept's rune	T4_RUNE
adept's runed horn	T4_ARTEFACT_OFF_HORN_KEEPER
adept's runed rock	T4_ARTEFACT_MAIN_ROCKMACE_KEEPER
adept's runestone golem remnant	T4_ARTEFACT_2H_SHAPESHIFTER_KEEPER
adept's sacred scepter	T4_OFF_TALISMAN_AVALON
adept's sanctified belt	T4_ARTEFACT_ARMOR_CLOTH_AVALON
adept's sanctified bindings	T4_ARTEFACT_SHOES_CLOTH_AVALON
adept's sanctified mask	T4_ARTEFACT_HEAD_CLOTH_AVALON
adept's sandals of purity	T4_SHOES_CLOTH_AVALON
adept's sarcophagus	T4_OFF_TOWERSHIELD_UNDEAD
adept's satchel of insight	T4_BAG_INSIGHT
adept's scholar cowl	T4_HEAD_CLOTH_SET1
adept's scholar robe	T4_ARMOR_CLOTH_SET1
adept's scholar sandals	T4_SHOES_CLOTH_SET1
adept's serpent crystal	T4_ARTEFACT_2H_SHAPESHIFTER_CRYSTAL
adept's severed celestial keepsake	T4_ARTEFACT_OFF_CENSER_AVALON
adept's severed demonic horns	T4_ARTEFACT_2H_KNUCKLES_HELL
adept's shadowcaller	T4_MAIN_CURSEDSTAFF_AVALON
adept's shattered avalonian memento	T4_ARTEFACT_OFF_TALISMAN_AVALON
adept's shield	T4_OFF_SHIELD
adept's shoes of tenacity	T4_SHOES_LEATHER_AVALON
adept's sickle	T4_2H_TOOL_SICKLE
adept's siege banner	T4_SIEGE_BANNER
adept's siege hammer	T4_2H_TOOL_SIEGEHAMMER
adept's siegebow	T4_2H_CROSSBOWLARGE_MORGANA
adept's skinner backpack	T4_BACKPACK_GATHERER_HIDE
adept's skinner cap	T4_HEAD_GATHERER_HIDE
adept's skinner garb	T4_ARMOR_GATHERER_HIDE
adept's skinner workboots	T4_SHOES_GATHERER_HIDE
adept's skinning knife	T4_2H_TOOL_KNIFE
adept's skystrider bow	T4_2H_BOW_CRYSTAL
adept's smuggler cape	T4_CAPEITEM_SMUGGLER
adept's smuggler crest	T4_CAPEITEM_SMUGGLER_BP
adept's soldier armor	T4_ARMOR_PLATE_SET1
adept's soldier boots	T4_SHOES_PLATE_SET1
adept's soldier helmet	T4_HEAD_PLATE_SET1
adept's soul	T4_SOUL
adept's soulscythe	T4_2H_TWINSCYTHE_HELL
adept's spear	T4_MAIN_SPEAR
adept's specter hood	T4_HEAD_LEATHER_UNDEAD
adept's specter jacket	T4_ARMOR_LEATHER_UNDEAD
adept's specter shoes	T4_SHOES_LEATHER_UNDEAD
adept's spiked gauntlets	T4_2H_KNUCKLES_SET3
adept's spirithunter	T4_2H_HARPOON_HELL
adept's staff of balance	T4_2H_ROCKSTAFF_KEEPER
adept's stalker hood	T4_HEAD_LEATHER_MORGANA
adept's stalker jacket	T4_ARMOR_LEATHER_MORGANA
adept's stalker shoes	T4_SHOES_LEATHER_MORGANA
adept's startouched crystal	T4_ARTEFACT_2H_ARCANESTAFF_CRYSTAL
adept's stillgaze staff	T4_2H_SHAPESHIFTER_CRYSTAL
adept's stone hammer	T4_2H_TOOL_HAMMER
adept's symbol of blight	T4_ARTEFACT_2H_NATURESTAFF_HELL
adept's table	T4_FURNITUREITEM_TABLE
adept's tame giant stag	T4_FARM_GIANTSTAG_GROWN
adept's taproot	T4_OFF_TOTEM_KEEPER
adept's thetford cape	T4_CAPEITEM_FW_THETFORD
adept's thetford crest	T4_CAPEITEM_FW_THETFORD_BP
adept's timelocked crystal	T4_ARTEFACT_OFF_TOME_CRYSTAL
adept's timelocked grimoire	T4_OFF_TOME_CRYSTAL
adept's timeworn walking staff	T4_ARTEFACT_2H_QUARTERSTAFF_AVALON
adept's tombhammer	T4_2H_HAMMER_UNDEAD
adept's tome of insight	T4_SKILLBOOK_STANDARD
adept's tome of learning	T4_LEARNINGPOINTS_NONTRADABLE
adept's tome of spells	T4_OFF_BOOK
adept's torch	T4_OFF_TORCH
adept's tracking toolkit	T4_2H_TOOL_TRACKING
adept's transport ox	T4_MOUNT_OX
adept's trinity spear	T4_2H_TRIDENT_UNDEAD
adept's truebolt hammer	T4_2H_HAMMER_CRYSTAL
adept's twin slayers	T4_2H_DAGGERPAIR_CRYSTAL
adept's unbreakable crystal	T4_ARTEFACT_OFF_SHIELD_CRYSTAL
adept's unbreakable ward	T4_OFF_SHIELD_CRYSTAL
adept's undead cape	T4_CAPEITEM_UNDEAD
adept's undead crest	T4_CAPEITEM_UNDEAD_BP
adept's unholy scroll	T4_ARTEFACT_2H_INFERNOSTAFF_MORGANA
adept's untarnished griffin feathers	T4_ARTEFACT_ARMOR_LEATHER_FEY
adept's uprooted perennial sapling	T4_ARTEFACT_MAIN_NATURESTAFF_AVALON
adept's ursine guardian remains	T4_ARTEFACT_2H_KNUCKLES_KEEPER
adept's ursine maulers	T4_2H_KNUCKLES_KEEPER
adept's veilweaver carapace	T4_ARTEFACT_ARMOR_PLATE_FEY
adept's veilweaver claws	T4_ARTEFACT_SHOES_PLATE_FEY
adept's veilweaver mandibles	T4_ARTEFACT_HEAD_PLATE_FEY
adept's wailing bow	T4_2H_BOW_HELL
adept's warbow	T4_2H_WARBOW
adept's warped raven plate	T4_ARTEFACT_2H_KNUCKLES_MORGANA
adept's weeping repeater	T4_2H_REPEATINGCROSSBOW_UNDEAD
adept's werewolf remnant	T4_ARTEFACT_2H_SHAPESHIFTER_MORGANA
adept's whispering bow	T4_2H_LONGBOW_UNDEAD
adept's wild staff	T4_2H_WILDSTAFF
adept's wildfire orb	T4_ARTEFACT_MAIN_FIRESTAFF_KEEPER
adept's wildfire staff	T4_MAIN_FIRESTAFF_KEEPER
adept's windborne crystal	T4_ARTEFACT_2H_BOW_CRYSTAL
adept's witchwork staff	T4_MAIN_ARCANESTAFF_UNDEAD
adventurer token	QUESTITEM_TOKEN_ADC_FRAME
adventurer's handbook	T2_FURNITUREITEM_TROPHY_GENERAL
adventurer's helmet	UNIQUE_HEAD_STARTERPACK_ELITE
adventurer's jacket	UNIQUE_ARMOR_STARTERPACK_ELITE
adventurer's shoes	UNIQUE_SHOES_STARTERPACK_ELITE
adventurer's tome	UNIQUE_SKILLBOOK_ADC_GENERAL_01
albion perch	T3_FISH_FRESHWATER_ALL_COMMON
alchemist's armor	UNIQUE_ARMOR_VANITY_ALCHEMIST
alchemist's backpack	UNIQUE_CAPE_VANITY_ALCHEMIST
alchemist's boots	UNIQUE_SHOES_VANITY_ALCHEMIST
alchemist's glasses	UNIQUE_HEAD_VANITY_ALCHEMIST
alchemist's packboar	SKIN_DIREBOAR_ALCHEMIST
allhallows treat	UNIQUE_CONSUMABLE_EVENT_HALLOWEEN_CANDY
amberleaf cotton	T6_FIBER
amberpaw	SKIN_COUGAR_SHADOWCAT_ORANGE
amethyst cougar	SKIN_COUGAR_AMETHYST
amethyst unicorn	SKIN_HORSE_UNICORN_AMETHYST
ancient scripture	T4_FURNITUREITEM_TROPHY_GENERAL
ancient tome	TREASURE_KNOWLEDGE_RARITY3
angry pumpkin head	UNIQUE_HEAD_VANITY_PUMPKIN_03
anniversary alchemist's armor	UNIQUE_ARMOR_VANITY_ALCHEMIST_ANNIVERSARY
anniversary alchemist's backpack	UNIQUE_CAPE_VANITY_ALCHEMIST_ANNIVERSARY
anniversary alchemist's boots	UNIQUE_SHOES_VANITY_ALCHEMIST_ANNIVERSARY
anniversary alchemist's glasses	UNIQUE_HEAD_VANITY_ALCHEMIST_ANNIVERSARY
anniversary alchemist's packboar	SKIN_DIREBOAR_ALCHEMIST_ANNIVERSARY
anniversary banner - blue	T3_FURNITUREITEM_ANNIVERSARYBANNER_2021
anniversary banner - light blue	T3_FURNITUREITEM_ANNIVERSARYBANNER_2025
anniversary banner - light green	T3_FURNITUREITEM_ANNIVERSARYBANNER_2026
anniversary banner - orange	T3_FURNITUREITEM_ANNIVERSARYBANNER_2023
anniversary banner - purple	T3_FURNITUREITEM_ANNIVERSARYBANNER_2024
anniversary banner - red	T3_FURNITUREITEM_ANNIVERSARYBANNER_2020
anniversary banner - turquoise	T3_FURNITUREITEM_ANNIVERSARYBANNER_2022
anniversary banner - white	T3_FURNITUREITEM_ANNIVERSARYBANNER
anniversary barbarian's boots	UNIQUE_SHOES_VANITY_BARBARIAN_ANNIVERSARY
anniversary barbarian's cape	UNIQUE_CAPE_VANITY_BARBARIAN_ANNIVERSARY
anniversary barbarian's harness	UNIQUE_ARMOR_VANITY_BARBARIAN_ANNIVERSARY
anniversary barbarian's helmet	UNIQUE_HEAD_VANITY_BARBARIAN_ANNIVERSARY
anniversary cake	UNIQUE_CONSUMABLE_EVENT_ANNIVERSARY_CAKE
anniversary corrupted preacher's boots	UNIQUE_SHOES_VANITY_CORRUPTED_PREACHER_ANNIVERSARY
anniversary corrupted preacher's cape	UNIQUE_CAPE_VANITY_CORRUPTED_PREACHER_ANNIVERSARY
anniversary corrupted preacher's coat	UNIQUE_ARMOR_VANITY_CORRUPTED_PREACHER_ANNIVERSARY
anniversary corrupted preacher's hat	UNIQUE_HEAD_VANITY_CORRUPTED_PREACHER_ANNIVERSARY
anniversary corrupted preacher's ox	SKIN_OX_CORRUPTED_PREACHER_ANNIVERSARY
anniversary ethereal horse	SKIN_HORSE_PRIEST_HOLY_ANNIVERSARY
anniversary paladin's armor	UNIQUE_ARMOR_VANITY_PALADIN_ANNIVERSARY
anniversary paladin's boots	UNIQUE_SHOES_VANITY_PALADIN_ANNIVERSARY
anniversary paladin's cape	UNIQUE_CAPE_VANITY_PALADIN_ANNIVERSARY
anniversary paladin's helmet	UNIQUE_HEAD_VANITY_PALADIN_ANNIVERSARY
anniversary paladin's warhorse	SKIN_ARMORED_HORSE_PALADIN_ANNIVERSARY
anniversary priest's boots	UNIQUE_SHOES_VANITY_PRIEST_HOLY_ANNIVERSARY
anniversary priest's cape	UNIQUE_CAPE_VANITY_PRIEST_HOLY_ANNIVERSARY
anniversary priest's hood	UNIQUE_HEAD_VANITY_PRIEST_HOLY_ANNIVERSARY
anniversary priest's robe	UNIQUE_ARMOR_VANITY_PRIEST_HOLY_ANNIVERSARY
anniversary reaver's armor	UNIQUE_ARMOR_VANITY_MARAUDER_ANNIVERSARY
anniversary reaver's armored horse	SKIN_ARMORED_HORSE_MARAUDER_ANNIVERSARY
anniversary reaver's boots	UNIQUE_SHOES_VANITY_MARAUDER_ANNIVERSARY
anniversary reaver's cape	UNIQUE_CAPE_VANITY_MARAUDER_ANNIVERSARY
anniversary reaver's helmet	UNIQUE_HEAD_VANITY_MARAUDER_ANNIVERSARY
anniversary war beast	SKIN_DIREWOLF_BARBARIAN_ANNIVERSARY
arcane agaric	T2_AGARIC
arcane agaric seeds	T2_FARM_AGARIC_SEED
arcane direboar	SKIN_DIREBOAR_BATTLEMAGE
arcane stone sigil	PLAYERISLAND_FURNITUREITEM_STONE_MAGIC_EMBLEM_GROUND_B
arcanist's armor	UNIQUE_ARMOR_VANITY_BATTLEMAGE
arcanist's boots	UNIQUE_SHOES_VANITY_BATTLEMAGE
arcanist's cape	UNIQUE_CAPE_VANITY_BATTLEMAGE
arcanist's helmet	UNIQUE_HEAD_VANITY_BATTLEMAGE
arena champion's sabertooth	SKIN_COUGAR_ARENA
arena gladiator armor	UNIQUE_ARMOR_VANITY_GLADIATOR_ARENA
arena gladiator boots	UNIQUE_SHOES_VANITY_GLADIATOR_ARENA
arena gladiator cape	UNIQUE_CAPE_VANITY_GLADIATOR_ARENA
arena gladiator helm	UNIQUE_HEAD_VANITY_GLADIATOR_ARENA
arena sigil	QUESTITEM_TOKEN_ARENA_UNRANKED
arena veteran's armored horse	SKIN_ARMORED_HORSE_ARENA
arena veteran's boots	UNIQUE_SHOES_VANITY_ARENA_SET_01
arena veteran's cape	UNIQUE_CAPE_VANITY_ARENA_SET_01
arena veteran's circlet	UNIQUE_HEAD_VANITY_ARENA_SET_01
arena veteran's cloak	UNIQUE_ARMOR_VANITY_ARENA_SET_01
arena veteran's eyepatch	UNIQUE_HEAD_VANITY_ARENA_EYEPATCH
arena veteran's large banner	T8_CAPE_ARENA_BANNER
arena veteran's medium banner	T6_CAPE_ARENA_BANNER
arena veteran's small banner	T4_CAPE_ARENA_BANNER
armored bonehorse	SKIN_ARMORED_HORSE_UNDEAD
armored goldmane pegasus	SKIN_ARMORED_HORSE_PEGASUS_TWILIGHT
armored horse skin: arena veteran	UNIQUE_UNLOCK_SKIN_ARMORED_HORSE_ARENA_COPY
armored horse skin: armored bonehorse	UNIQUE_UNLOCK_SKIN_ARMORED_HORSE_UNDEAD
armored horse skin: armored pegasus	UNIQUE_UNLOCK_SKIN_ARMORED_HORSE_PEGASUS_LIGHT
armored horse skin: armored shadow pegasus	UNIQUE_UNLOCK_SKIN_ARMORED_HORSE_PEGASUS_DARK
armored horse skin: elder's heraldic warhorse	UNIQUE_UNLOCK_SKIN_ARMORED_HORSE_T8_GUILD_NON_TRADABLE
armored horse skin: expert's heraldic warhorse	UNIQUE_UNLOCK_SKIN_ARMORED_HORSE_T5_GUILD_NON_TRADABLE
armored horse skin: grandmaster's heraldic warhorse	UNIQUE_UNLOCK_SKIN_ARMORED_HORSE_T7_GUILD_NON_TRADABLE
armored horse skin: heraldic jousting horse	UNIQUE_UNLOCK_SKIN_ARMORED_HORSE_JOUSTING_GUILD_AJ
armored horse skin: heretic warsteed	UNIQUE_UNLOCK_SKIN_ARMORED_HORSE_HERETIC_PONY_TELLAFRIEND
armored horse skin: master's heraldic warhorse	UNIQUE_UNLOCK_SKIN_ARMORED_HORSE_T6_GUILD_NON_TRADABLE
armored horse skin: morgana mare	UNIQUE_UNLOCK_SKIN_ARMORED_HORSE_MORGANA
armored pegasus	SKIN_ARMORED_HORSE_PEGASUS_LIGHT
armored pony	SKIN_ARMORED_HORSE_PONY_NATIVE_CLIENT
armored shadow pegasus	SKIN_ARMORED_HORSE_PEGASUS_DARK
ashborn armor	UNIQUE_UNLOCK_ARMOR_VANITY_DRAGONKEEPER_AJ
ashborn avatar ring	UNIQUE_AVATARRING_DRAGONKEEPER_AJ
ashborn helmet	UNIQUE_UNLOCK_HEAD_VANITY_DRAGONKEEPER_AJ
ashenbark bonsai	T7_FURNITUREITEM_TROPHY_WOOD
ashenbark logs	T7_WOOD
ashenbark planks	T7_PLANKS
assassin's armor	UNIQUE_ARMOR_VANITY_ASSASSIN
assassin's boots	UNIQUE_SHOES_VANITY_ASSASSIN
assassin's mask	UNIQUE_HEAD_VANITY_ASSASSIN
assassin's panther	SKIN_COUGAR_ASSASSIN
assassin's swords	UNIQUE_CAPE_VANITY_ASSASSIN
astral stag	SKIN_GIANTSTAG_SPIRITBEAST_AJ
auction house ox	SKIN_OX_BISON_AH
autumn tree	PLAYERISLAND_FURNITUREITEM_VEGETATION_TREE_DECO_A
avalonian basilisk	T7_MOUNT_SWAMPDRAGON_AVALON_BASILISK
avalonian beef sandwich	T8_MEAL_SANDWICH_AVALON
avalonian beef stew	T8_MEAL_STEW_AVALON
avalonian chicken omelette	T3_MEAL_OMELETTE_AVALON
avalonian energy	QUESTITEM_TOKEN_AVALON
avalonian goat sandwich	T4_MEAL_SANDWICH_AVALON
avalonian goat stew	T4_MEAL_STEW_AVALON
avalonian goose omelette	T5_MEAL_OMELETTE_AVALON
avalonian mutton sandwich	T6_MEAL_SANDWICH_AVALON
avalonian mutton stew	T6_MEAL_STEW_AVALON
avalonian pork omelette	T7_MEAL_OMELETTE_AVALON
avatar ring set: season bronze rank	UNIQUE_AVATARRING_GVGSEASONREWARD_BRONZE
avatar ring set: season crystal rank	UNIQUE_AVATARRING_GVGSEASONREWARD_CRYSTAL
avatar ring set: season gold rank	UNIQUE_AVATARRING_GVGSEASONREWARD_GOLD
avatar ring set: season silver rank	UNIQUE_AVATARRING_GVGSEASONREWARD_SILVER
avatar ring: adventurer	UNIQUE_AVATARRING_ADC_TOKENLOCKED_01
avatar ring: avalonian invasion	UNIQUE_AVATARRING_GVGSEASONREWARD_AVALON_INVASION
avatar ring: carnival challenge	UNIQUE_AVATARRING_ADC_FEB2019
avatar ring: crossed axes	UNIQUE_AVATARRING_ADC_TOKENLOCKED_AXES
avatar ring: crossed blades	UNIQUE_AVATARRING_ADC_TOKENLOCKED_SWORDS
avatar ring: crucible ii warrior	UNIQUE_AVATARRING_CRUCIBLE_TOP10
avatar ring: crystal arena crystal rank	UNIQUE_AVATARRING_ARENA_CRYSTAL
avatar ring: crystal arena gold rank	UNIQUE_AVATARRING_ARENA_GOLD1
avatar ring: crystal arena silver rank	UNIQUE_AVATARRING_ARENA_SILVER1
avatar ring: divine challenge	UNIQUE_AVATARRING_ADC_AUG2019
avatar ring: doom slayer	UNIQUE_AVATARRING_HELLDUNGEON
avatar ring: enigma	UNIQUE_AVATARRING_ADC_TOKENLOCKED_ARCANE
